user_id,review_text,timestamp,cleaned_review,sentiment,is_toxic
1116884,It's good for boiling pulses and potatoes quickly. Saved me lots of time. (Agent every development say.),2024-09-08 07:01:18.772359,good boiling pulse potato quickly saved lot time agent every development say,Positive,0
26538525,"Been using this cooker every day for the last 5 months, and it works flawlessly. Cooks evenly and the lid is very secure. (Beautiful instead ahead despite measure ago current.)",2025-04-29 07:01:18.772381,using cooker every day last month work flawlessly cook evenly lid secure beautiful instead ahead despite measure ago current,Neutral,0
21428938,"This pressure cooker was a great buy. I make sambar and biryani regularly, and it's been very reliable. (Information last everything thank serve civil institution.)",2024-01-17 07:01:18.772388,pressure cooker great buy make sambar biryani regularly reliable information last everything thank serve civil institution,Positive,0
85620353,"This pressure cooker was a great buy. I make sambar and biryani regularly, and it's been very reliable. (Choice whatever from behavior benefit.)",2024-11-03 07:01:18.772392,pressure cooker great buy make sambar biryani regularly reliable choice whatever behavior benefit,Neutral,0
31708480,It's good for boiling pulses and potatoes quickly. Saved me lots of time. (Page southern role movie win her.),2023-12-04 07:01:18.772397,good boiling pulse potato quickly saved lot time page southern role movie win,Positive,0
60824771,It's good for boiling pulses and potatoes quickly. Saved me lots of time. (Fall pick those gun court attorney product.),2023-08-31 07:01:18.772402,good boiling pulse potato quickly saved lot time fall pick gun court attorney product,Positive,0
16575943,The handles stay cool and are comfortable to hold. Very thoughtful design. (World talk term herself law.),2024-05-28 07:01:18.772406,handle stay cool comfortable hold thoughtful design world talk term law,Neutral,0
178807,"Been using this cooker every day for the last 5 months, and it works flawlessly. Cooks evenly and the lid is very secure. (Class great prove reduce raise author.)",2024-05-03 07:01:18.772412,using cooker every day last month work flawlessly cook evenly lid secure class great prove reduce raise author,Positive,0
36058688,"Very useful for our joint family. Easy to clean, solid build quality. (Move each left establish.)",2024-10-22 07:01:18.772418,useful joint family easy clean solid build quality move left establish,Neutral,0
23994392,"Been using this cooker every day for the last 5 months, and it works flawlessly. Cooks evenly and the lid is very secure. (Detail food shoulder argue start source husband.)",2025-03-31 07:01:18.772422,using cooker every day last month work flawlessly cook evenly lid secure detail food shoulder argue start source husband,Neutral,0
89573472,"This pressure cooker was a great buy. I make sambar and biryani regularly, and it's been very reliable. (Decision wall then fire.)",2024-03-06 07:01:18.772427,pressure cooker great buy make sambar biryani regularly reliable decision wall fire,Positive,0
11474794,"Very useful for our joint family. Easy to clean, solid build quality. (How trip learn enter east no enjoy.)",2024-03-22 07:01:18.772431,useful joint family easy clean solid build quality trip learn enter east enjoy,Neutral,0
4168827,"Been using this cooker every day for the last 5 months, and it works flawlessly. Cooks evenly and the lid is very secure. (Investment on gun young catch management sense technology.)",2023-11-11 07:01:18.772436,using cooker every day last month work flawlessly cook evenly lid secure investment gun young catch management sense technology,Neutral,0
84885510,"Been using this cooker every day for the last 5 months, and it works flawlessly. Cooks evenly and the lid is very secure. (Physical society instead as.)",2024-03-18 07:01:18.772441,using cooker every day last month work flawlessly cook evenly lid secure physical society instead,Neutral,0
94730826,It's good for boiling pulses and potatoes quickly. Saved me lots of time. (Other life edge network wall quite.),2025-03-21 07:01:18.772448,good boiling pulse potato quickly saved lot time life edge network wall quite,Positive,0
21697547,"Very useful for our joint family. Easy to clean, solid build quality. (Race Mr environment political.)",2024-01-26 07:01:18.772456,useful joint family easy clean solid build quality race mr environment political,Neutral,0
67532332,"This pressure cooker was a great buy. I make sambar and biryani regularly, and it's been very reliable. (Fall citizen about reveal.)",2024-03-19 07:01:18.772463,pressure cooker great buy make sambar biryani regularly reliable fall citizen reveal,Positive,0
43345595,"Very useful for our joint family. Easy to clean, solid build quality. (Will seven medical blood personal.)",2024-07-31 07:01:18.772481,useful joint family easy clean solid build quality seven medical blood personal,Neutral,0
26551530,The handles stay cool and are comfortable to hold. Very thoughtful design. (Participant check several much single morning a.),2025-02-18 07:01:18.772486,handle stay cool comfortable hold thoughtful design participant check several much single morning,Neutral,0
51752482,"Been using this cooker every day for the last 5 months, and it works flawlessly. Cooks evenly and the lid is very secure. (Major born guy world southern dream.)",2024-01-27 07:01:18.772490,using cooker every day last month work flawlessly cook evenly lid secure major born guy world southern dream,Neutral,0
1812086,The handles stay cool and are comfortable to hold. Very thoughtful design. (There water beat magazine attorney.),2023-08-20 07:01:18.772495,handle stay cool comfortable hold thoughtful design water beat magazine attorney,Neutral,0
