user_id,review_text,timestamp,cleaned_review
1116884,It's good for boiling pulses and potatoes quickly. Saved me lots of time. (Agent every development say.),2024-09-08 07:01:18.772359,good boiling pulse potato quickly saved lot time agent every development say
26538525,"Been using this cooker every day for the last 5 months, and it works flawlessly. Cooks evenly and the lid is very secure. (Beautiful instead ahead despite measure ago current.)",2025-04-29 07:01:18.772381,using cooker every day last month work flawlessly cook evenly lid secure beautiful instead ahead despite measure ago current
21428938,"This pressure cooker was a great buy. I make sambar and biryani regularly, and it's been very reliable. (Information last everything thank serve civil institution.)",2024-01-17 07:01:18.772388,pressure cooker great buy make sambar biryani regularly reliable information last everything thank serve civil institution
85620353,"This pressure cooker was a great buy. I make sambar and biryani regularly, and it's been very reliable. (Choice whatever from behavior benefit.)",2024-11-03 07:01:18.772392,pressure cooker great buy make sambar biryani regularly reliable choice whatever behavior benefit
31708480,It's good for boiling pulses and potatoes quickly. Saved me lots of time. (Page southern role movie win her.),2023-12-04 07:01:18.772397,good boiling pulse potato quickly saved lot time page southern role movie win
60824771,It's good for boiling pulses and potatoes quickly. Saved me lots of time. (Fall pick those gun court attorney product.),2023-08-31 07:01:18.772402,good boiling pulse potato quickly saved lot time fall pick gun court attorney product
16575943,The handles stay cool and are comfortable to hold. Very thoughtful design. (World talk term herself law.),2024-05-28 07:01:18.772406,handle stay cool comfortable hold thoughtful design world talk term law
178807,"Been using this cooker every day for the last 5 months, and it works flawlessly. Cooks evenly and the lid is very secure. (Class great prove reduce raise author.)",2024-05-03 07:01:18.772412,using cooker every day last month work flawlessly cook evenly lid secure class great prove reduce raise author
36058688,"Very useful for our joint family. Easy to clean, solid build quality. (Move each left establish.)",2024-10-22 07:01:18.772418,useful joint family easy clean solid build quality move left establish
23994392,"Been using this cooker every day for the last 5 months, and it works flawlessly. Cooks evenly and the lid is very secure. (Detail food shoulder argue start source husband.)",2025-03-31 07:01:18.772422,using cooker every day last month work flawlessly cook evenly lid secure detail food shoulder argue start source husband
89573472,"This pressure cooker was a great buy. I make sambar and biryani regularly, and it's been very reliable. (Decision wall then fire.)",2024-03-06 07:01:18.772427,pressure cooker great buy make sambar biryani regularly reliable decision wall fire
